ticker,wikipedia_page
# BEHAVIORAL FINANCE - Search terms that spike with market psychology,
# Research: Da et al. (2011) showed retail attention predicts short-term returns,
# ============================================================================,
,FOMO
,Bull_market
,Market_sentiment
,Speculation
,Bubble_(economics)
,Greater_fool_theory
,Herd_behavior
,Loss_aversion
# ============================================================================,
# AUDIT 2026-01-14: NEW ZEALAND SECTORS & GLOBAL MACRO ADDITIONS,
# ============================================================================,
MFB.NZ,My_Food_Bag
MCK.NZ,Millennium_%26_Copthorne_Hotels
,Housing_in_New_Zealand
,Electricity_sector_in_New_Zealand
,Agriculture_in_New_Zealand
,KiwiSaver
# Weather Events,
,Cyclone_Gabrielle
# Geopolitics,
,Russo-Ukrainian_War
,Israel-Hamas_war
# Innovation,
,Rocket_Lab
,Weta_Digital
# ============================================================================,
# OTHER, common search terms,
# ============================================================================,
,Bunnings
,Facebook
,Google
,Youtube
,Stuff
,News
,Trade
,Trade_me
,The_New_Zealand_Herald
,Sovereign_citizen_movement
,Commonwealth_Bank
,Maori_people
