feature,risk_level,reason
aquaculture_production_tonnes_irl,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_isl,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_isr,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_ita,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_jpn,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_kor,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_ltu,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_lva,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_mex,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_mys,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_nld,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_nor,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_nzl,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_per,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_phl,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_pol,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_prt,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_rou,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_svk,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_svn,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_swe,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_tha,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_tur,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_twn,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_usa,review,Slow-moving field should be checked for publication timing before use.
aquaculture_production_tonnes_vnm,review,Slow-moving field should be checked for publication timing before use.
bop_capital_account_balance_revenue_minus_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_capital_account_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_capital_account_revenue_sa,review,Slow-moving field should be checked for publication timing before use.
bop_current_account_balance_revenue_minus_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_current_account_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_current_account_revenue_sa,review,Slow-moving field should be checked for publication timing before use.
bop_direct_investment_assets_or_net_acquisition_of_assets_sa,review,Slow-moving field should be checked for publication timing before use.
bop_direct_investment_liabilities_or_net_incurrence_of_liabilities_sa,review,Slow-moving field should be checked for publication timing before use.
bop_direct_investment_net_assets_minus_liabilities_sa,review,Slow-moving field should be checked for publication timing before use.
bop_financial_account_assets_or_net_acquisition_of_assets_sa,review,Slow-moving field should be checked for publication timing before use.
bop_financial_account_liabilities_or_net_incurrence_of_liabilities_sa,review,Slow-moving field should be checked for publication timing before use.
bop_financial_account_net_assets_minus_liabilities_sa,review,Slow-moving field should be checked for publication timing before use.
bop_financial_derivatives_net_assets_minus_liabilities_sa,review,Slow-moving field should be checked for publication timing before use.
bop_goods_acquired_under_merchanting_balance_revenue_minus_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_goods_acquired_under_merchanting_revenue_sa,review,Slow-moving field should be checked for publication timing before use.
bop_goods_balance_revenue_minus_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_goods_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_goods_revenue_sa,review,Slow-moving field should be checked for publication timing before use.
bop_goods_sold_under_merchanting_balance_revenue_minus_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_goods_sold_under_merchanting_revenue_sa,review,Slow-moving field should be checked for publication timing before use.
bop_net_errors_and_omissions_net_assets_minus_liabilities_sa,review,Slow-moving field should be checked for publication timing before use.
bop_net_exports_of_goods_under_merchanting_balance_revenue_minus_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_net_exports_of_goods_under_merchanting_revenue_sa,review,Slow-moving field should be checked for publication timing before use.
bop_other_investment_assets_or_net_acquisition_of_assets_sa,review,Slow-moving field should be checked for publication timing before use.
bop_other_investment_liabilities_or_net_incurrence_of_liabilities_sa,review,Slow-moving field should be checked for publication timing before use.
bop_other_investment_net_assets_minus_liabilities_sa,review,Slow-moving field should be checked for publication timing before use.
bop_portfolio_investment_assets_or_net_acquisition_of_assets_sa,review,Slow-moving field should be checked for publication timing before use.
bop_portfolio_investment_liabilities_or_net_incurrence_of_liabilities_sa,review,Slow-moving field should be checked for publication timing before use.
bop_portfolio_investment_net_assets_minus_liabilities_sa,review,Slow-moving field should be checked for publication timing before use.
bop_primary_income_balance_revenue_minus_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_primary_income_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_primary_income_revenue_sa,review,Slow-moving field should be checked for publication timing before use.
bop_reserve_assets_assets_or_net_acquisition_of_assets_sa,review,Slow-moving field should be checked for publication timing before use.
bop_secondary_income_balance_revenue_minus_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_secondary_income_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_secondary_income_revenue_sa,review,Slow-moving field should be checked for publication timing before use.
bop_services_balance_revenue_minus_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_services_expenditure_sa,review,Slow-moving field should be checked for publication timing before use.
bop_services_revenue_sa,review,Slow-moving field should be checked for publication timing before use.
dividend,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_age15_plus_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_age15_plus_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_age15to24_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_age15to64_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_age15to64_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_age15to64_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_pop_ratio_age15_plus_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_pop_ratio_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_pop_ratio_age15_plus_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_pop_ratio_age15to64_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_pop_ratio_age15to64_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_pop_ratio_age15to64_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_pop_ratio_gap_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_employment_pop_ratio_gap_age15to64_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_labor_force_age15_plus_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_labor_force_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_labor_force_age15_plus_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_labor_force_age15to24_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_labor_force_age15to64_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_labor_force_age15to64_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_labor_force_age15to64_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_lfparticipation_gap_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_lfparticipation_gap_age15to64_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_lfparticipation_rate_age15_plus_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_lfparticipation_rate_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_lfparticipation_rate_age15_plus_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_lfparticipation_rate_age15to64_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_lfparticipation_rate_age15to64_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_lfparticipation_rate_age15to64_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_population_age15_plus_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_population_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_population_age15_plus_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_population_age15to24_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_population_age15to24_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_population_age15to24_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_population_age15to64_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_population_age15to64_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_population_age15to64_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_income_tax_rate_percentage_of_gross_wage_earnings_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_income_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_income_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_income_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_rate_of_employees'_social_security_contributions_percentage_of_gross_wage_earnings_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_rate_of_employees'_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_rate_of_employees'_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_rate_of_employees'_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_rate_of_employer's_social_security_contributions_percentage_of_gross_wage_earnings_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_rate_of_employer's_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_rate_of_employer's_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_rate_of_employer's_social_security_contributions_percentage_of_gross_wage_earnings_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_tax_wedge_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_tax_wedge_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_tax_wedge_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_average_tax_wedge_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_basic_tax_credit_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_basic_tax_credit_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_basic_tax_credit_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_basic_tax_credit_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_for_two_children_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_for_two_children_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_for_two_children_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_for_two_children_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_from_general_government_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_from_general_government_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_from_general_government_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_from_general_government_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_cash_transfers_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_income_tax_finally_paid_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_income_tax_finally_paid_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_income_tax_finally_paid_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_income_tax_finally_paid_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_income_tax_liability_exclusive_of_tax_credits_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_income_tax_liability_exclusive_of_tax_credits_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_income_tax_liability_exclusive_of_tax_credits_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_income_tax_liability_exclusive_of_tax_credits_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_taxable_income_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_taxable_income_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_taxable_income_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_central_government_taxable_income_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employee_social_security_contributions_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employee_social_security_contributions_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employee_social_security_contributions_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employee_social_security_contributions_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employees'_compulsory_social_security_contributions_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employees'_compulsory_social_security_contributions_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employees'_compulsory_social_security_contributions_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employees'_compulsory_social_security_contributions_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employees'_compulsory_social_security_contributions_payable_on_gross_earnings_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employees'_compulsory_social_security_contributions_payable_on_gross_earnings_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employees'_compulsory_social_security_contributions_payable_on_gross_earnings_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employees'_compulsory_social_security_contributions_payable_on_gross_earnings_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employer_social_security_contributions_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employer_social_security_contributions_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employer_social_security_contributions_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employer_social_security_contributions_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employers'_compulsory_social_security_contributions_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employers'_compulsory_social_security_contributions_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employers'_compulsory_social_security_contributions_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_employers'_compulsory_social_security_contributions_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_gross_earnings_before_taxes_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_gross_earnings_before_taxes_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_gross_earnings_before_taxes_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_gross_earnings_before_taxes_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_income_tax_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_income_tax_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_income_tax_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_income_tax_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_labour_costs_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_labour_costs_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_labour_costs_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_labour_costs_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_marginal_tax_wedge_of_the_principal_earner_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_marginal_tax_wedge_of_the_principal_earner_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_marginal_tax_wedge_of_the_principal_earner_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_marginal_tax_wedge_of_the_principal_earner_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_net_personal_average_tax_rate_percentage_of_gross_wage_earnings_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_net_personal_average_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_net_personal_average_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_net_personal_average_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_net_personal_marginal_tax_rate_of_the_principal_earner_percentage_of_gross_wage_earnings_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_net_personal_marginal_tax_rate_of_the_principal_earner_percentage_of_gross_wage_earnings_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_net_personal_marginal_tax_rate_of_the_principal_earner_percentage_of_gross_wage_earnings_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_net_personal_marginal_tax_rate_of_the_principal_earner_percentage_of_gross_wage_earnings_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_standard_tax_allowances_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_standard_tax_allowances_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_standard_tax_allowances_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_standard_tax_allowances_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_state_and_local_taxes_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_state_and_local_taxes_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_state_and_local_taxes_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_state_and_local_taxes_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_take_home_pay_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_take_home_pay_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_take_home_pay_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_take_home_pay_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_tax_credits_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_tax_credits_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_tax_credits_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_tax_credits_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_tax_credits_or_cash_transfers_included_in_taxable_income_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_tax_credits_or_cash_transfers_included_in_taxable_income_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_tax_credits_or_cash_transfers_included_in_taxable_income_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_tax_credits_or_cash_transfers_included_in_taxable_income_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_total_payments_to_general_government_national_currency_single_person_2_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_total_payments_to_general_government_national_currency_single_person_no_children_100%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_total_payments_to_general_government_national_currency_single_person_no_children_167%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_tax_total_payments_to_general_government_national_currency_single_person_no_children_67%_of_average_wage,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_age15_plus_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_age15_plus_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_age15to24_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_age15to64_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_age15to64_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_age15to64_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_not_worked_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_rate_age15_plus_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_rate_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_rate_age15_plus_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_rate_age15to64_female,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_rate_age15to64_male,review,Slow-moving field should be checked for publication timing before use.
